     i        y          a (AU)     P (y)    Mplan (M_E)     Pcol        Pejc   
-----------------------------------------------------------------------------------
      1   -2.99546       0.05201  3.5768e-02  1.0000e+00  2.4498e-06  0.0000e+00
      2   -2.99519       0.05203  3.5783e-02  1.0000e+00  2.4486e-06  0.0000e+00
      3   -2.99491       0.05204  3.5797e-02  1.0000e+00  2.4473e-06  0.0000e+00
      4   -2.99464       0.05206  3.5812e-02  1.0000e+00  2.4461e-06  0.0000e+00
      5   -2.99437       0.05207  3.5827e-02  1.0000e+00  2.4449e-06  0.0000e+00
      6   -2.99409       0.05209  3.5841e-02  1.0000e+00  2.4437e-06  0.0000e+00
      7   -2.99382       0.05210  3.5856e-02  1.0000e+00  2.4425e-06  0.0000e+00
      8   -2.99355       0.05211  3.5871e-02  1.0000e+00  2.4413e-06  0.0000e+00
      9   -2.99327       0.05213  3.5885e-02  1.0000e+00  2.4401e-06  0.0000e+00
     10   -2.99300       0.05214  3.5900e-02  1.0000e+00  2.4388e-06  0.0000e+00
     11   -2.99273       0.05216  3.5915e-02  1.0000e+00  2.4376e-06  0.0000e+00
     12   -2.99246       0.05217  3.5930e-02  1.0000e+00  2.4364e-06  0.0000e+00
     13   -2.99218       0.05218  3.5944e-02  1.0000e+00  2.4352e-06  0.0000e+00
     14   -2.99191       0.05220  3.5959e-02  1.0000e+00  2.4340e-06  0.0000e+00
     15   -2.99164       0.05221  3.5974e-02  1.0000e+00  2.4328e-06  0.0000e+00
     16   -2.99136       0.05223  3.5988e-02  1.0000e+00  2.4316e-06  0.0000e+00
     17   -2.99109       0.05224  3.6003e-02  1.0000e+00  2.4304e-06  0.0000e+00
     18   -2.99082       0.05226  3.6018e-02  1.0000e+00  2.4292e-06  0.0000e+00
     19   -2.99054       0.05227  3.6033e-02  1.0000e+00  2.4280e-06  0.0000e+00
     20   -2.99027       0.05228  3.6047e-02  1.0000e+00  2.4267e-06  0.0000e+00
     21   -2.99000       0.05230  3.6062e-02  1.0000e+00  2.4255e-06  0.0000e+00
     22   -2.98973       0.05231  3.6077e-02  1.0000e+00  2.4243e-06  0.0000e+00
     23   -2.98945       0.05233  3.6092e-02  1.0000e+00  2.4231e-06  0.0000e+00
     24   -2.98918       0.05234  3.6107e-02  1.0000e+00  2.4219e-06  0.0000e+00
     25   -2.98891       0.05236  3.6121e-02  1.0000e+00  2.4207e-06  0.0000e+00
     26   -2.98863       0.05237  3.6136e-02  1.0000e+00  2.4195e-06  0.0000e+00
     27   -2.98836       0.05238  3.6151e-02  1.0000e+00  2.4183e-06  0.0000e+00
